block_number,sqrt_price_x96
18815348,4969996145994644575735055024
18822548,4890021783285895283670333778
18829748,5186159182779676626675243166
18836948,5187250254294950955976086898
18844148,4845439884898364687438316975
18851348,5122397032532521441251058225
18858548,5284290117004097528105772056
18865748,5226290259000179333758021283
18872948,5180394744636244481875497316
18880148,5226949083018951436990838090
18887348,5096615490244517136918581458
18894548,5105512019677817174434355912
18901748,5111134325137542230174721796
18908948,5099283295836493413685970934
18916148,5187035573995783595310310503
18923348,5048807473158570652087090079
18930548,5131790955755839541041842753
18937748,5125128728558600468031497805
18944948,4996430416709976890535778561
18952148,4889322967381534810464713048
18959348,4834277513807394654159870935
18966548,4848638161479254080283420772
18973748,4723859006594734242113415722
18980948,4617563840117066583953343500
18988148,4496796394048598090044516501
18995348,4525884759534122624101571581
19002548,4497800193068726818138136024
19009748,4455745974845376916286522327
19016948,4448873166699455813319023412
19024148,4683024652223907496466871818
19031348,4645711543457650622110822636
19038548,4470482899999564046077598551
19045748,4423247845376292287785290007
19052948,4452120356046798373607348654
19060148,4426457508085572884146841096
19067348,4394398499663554408272203251
19074548,4439484254684374605495978218
19081748,4506495167016538656224366887
19088948,4459599162949229698300849019
19096148,4563881999190582119360134473
19103348,4472117996072941680270971022
19110548,4498592986143875503250250296
19117748,4752689415554570545125347770
19124948,4822708436206631813036503454
19132148,4726023674105072423871331912
19139348,4783646697588039488666160991
19146548,4864698103955449617440864565
19153748,4831917210035330252477903173
19160948,4799847526116198260785482012
